Mission ID,mission_date,country,target_country,aircraft_series,high_explosives_weight_tons,incendiary_devices_weight_tons,fragmentation_devices_weight_tons,total_weight_tons,mission_type
50676,1940-08-19,GREAT BRITAIN,FRANCE,BLEN,3.0,1.0,,3.0,BOMBING
55617,1940-09-15,GREAT BRITAIN,GERMANY,WELL,3.0,2.0,,3.0,BOMBING
56019,1940-09-18,GREAT BRITAIN,GERMANY,WHIT,2.0,,,1.0,BOMBING
58752,1940-10-07,GREAT BRITAIN,GERMANY,WHIT,7.0,,,1.0,BOMBING
59888,1940-10-12,GREAT BRITAIN,GERMANY,HAMP,2.0,3.0,,8.0,BOMBING
60612,1940-10-15,GREAT BRITAIN,GERMANY,WHIT,1.0,,,2.0,BOMBING
64833,1940-11-08,GREAT BRITAIN,GERMANY,WHIT,,,10.0,1.0,BOMBING
65201,1940-11-10,GREAT BRITAIN,GERMANY,WHIT,1.0,1.0,,1.0,BOMBING
78464,1941-03-17,GREAT BRITAIN,GERMANY,WELL,3.0,1.0,,1.0,BOMBING
81259,1941-04-15,GREAT BRITAIN,GERMANY,WHIT,1.0,1.0,,1.0,BOMBING
84973,1941-05-12,UNKNOWN,GREECE,WELL,,0.24,0.0,0.365,BOMBING
84974,1941-05-12,GREAT BRITAIN,GREECE,WELL,,0.48,0.0,2.23,BOMBING
84998,1941-05-15,GREAT BRITAIN,GERMANY,WHIT,19.0,6.0,,19.0,BOMBING
85372,1941-05-16,GREAT BRITAIN,GREECE,WELL,,1.26,0.0,5.395,BOMBING
85371,1941-05-16,GREAT BRITAIN,GREECE,WELL,,1.125,0.0,3.375,BOMBING
85739,1941-05-18,GREAT BRITAIN,GREECE,WELL,,1.125,0.0,3.75,BOMBING
85738,1941-05-18,GREAT BRITAIN,GREECE,WELL,,0.12,0.0,1.235,BOMBING
85752,1941-05-20,GREAT BRITAIN,GREECE,WELL,,0.24,0.0,0.865,BOMBING
85749,1941-05-20,GREAT BRITAIN,GREECE,WELL,,0.475,0.0,1.725,BOMBING
85748,1941-05-20,GREAT BRITAIN,GREECE,WELL,,0.12,0.0,0.735,BOMBING
85789,1941-05-23,GREAT BRITAIN,CRETE,WELL,,0.12,0.0,2.11,BOMBING
86193,1941-05-30,GREAT BRITAIN,CRETE,WELL,,0.4,0.0,3.775,BOMBING
86937,1941-06-09,GREAT BRITAIN,SYRIA,BLEN,,0.24,0.0,0.95,BOMBING
86952,1941-06-10,GREAT BRITAIN,SYRIA,BLEN,,0.24,0.0,0.95,BOMBING
88555,1941-06-16,GREAT BRITAIN,SYRIA,BLEN,,0.24,0.0,0.98,BOMBING
88185,1941-06-16,GREAT BRITAIN,SYRIA,BLEN,,0.08,0.0,0.33,BOMBING
89790,1941-06-24,GREAT BRITAIN,SYRIA,BLEN,,0.72,0.0,1.47,BOMBING
90106,1941-06-24,GREAT BRITAIN,GERMANY,HAMP,2.0,2.0,,6.0,BOMBING
90196,1941-06-26,GREAT BRITAIN,SYRIA,BLEN,,0.48,0.0,1.48,BOMBING
90195,1941-06-26,GREAT BRITAIN,SYRIA,BLEN,,0.48,0.0,0.96,BOMBING
90495,1941-06-27,GREAT BRITAIN,SYRIA,BLEN,,1.38,0.0,3.13,BOMBING
90879,1941-06-28,GREAT BRITAIN,SYRIA,BLEN,,0.96,0.0,2.21,BOMBING
91151,1941-06-29,GREAT BRITAIN,LEBANON,WELL,,0.36,0.0,5.86,BOMBING
91154,1941-06-30,GREAT BRITAIN,SYRIA,BLEN,,0.48,0.0,0.93,BOMBING
91509,1941-07-01,GREAT BRITAIN,LEBANON,WELL,,0.32,0.0,3.57,BOMBING
91581,1941-07-02,GREAT BRITAIN,LEBANON,WELL,,0.24,0.0,3.49,BOMBING
